	dif
1	0.3434200286
2	0.3351600171
3	0.3658399582
4	0.3220100403
5	0.2530298233
6	0.2942199707
7	0.2820599079
8	0.4429199696
9	0.4418699742
10	0.3320398331
11	0.427850008
12	0.3286499978
13	0.3915100097
14	0.3579299449
15	0.1814198494
16	0.3876199723
17	0.3744800091
18	0.4119999409
19	0.2096800804
20	0.3668498993
21	0.6646502018
22	0.3600699902
23	0.7572898865
24	0.4139900208
25	0.4510400296
26	0.4122600555
27	0.4756000042
28	0.767649889
29	0.3925099373
30	0.3878200054
31	0.659719944
32	0.4220898152
33	0.4137699604
34	0.3110399246
35	0.6414499282
36	0.4085099697
37	0.4376699924
38	0.4008798599
39	0.400660038
40	0.3935701847
41	0.329210043
42	0.3246500493
43	0.3253800869
44	0.320800066
45	0.3899700642
46	0.3173501492
47	0.3920600415
48	0.3450701237
49	0.4135699272
50	0.444270134
51	0.3432297707

