	diferencia
1	0.8932299614
2	0.375880003
3	0.3788700104
4	0.3711800576
5	0.9463300705
6	0.5834498405
7	1.63718009
8	1.1397800446
9	0.6969399452
10	1.2147297859
11	0.7252800465
12	0.7875800132
13	1.4389998913
14	1.7906200885
15	1.4068000317
16	1.0085699558
17	0.5723199844
18	0.7715899944
19	0.2296798229
20	0.3620798588
21	1.0190200805
22	0.4903299809
23	0.3241899014
24	0.4041399956
25	0.7113399506
26	0.3235099316
27	0.434679985
28	0.3643498421
29	0.3520798683
30	0.4181799889
31	0.3187298775
32	0.3517398835
33	1.2364499569
34	0.5531299114
35	0.3281300068
36	0.9567499161
37	0.4848101139
38	1.1339700222
39	0.7356300354
40	0.4763998986
41	0.881180048
42	0.7482101918
43	0.3437199593
44	0.6357798576
45	0.2629799842
46	1.2286801338
47	0.7506299019
48	1.7784001828
49	1.0838501453
50	0.5111498832
51	0.4026601315

